;obstype@body;codetype@body;entryno@body;varno@body;date@hdr;time@hdr;stalt@hdr;statid@hdr;obstype@hdr;codetype@hdr;source@hdr;groupid@hdr;reportype@hdr;class@desc;type@desc;stream@desc;expver@desc;levtype@desc;andate@desc;antime@desc;lat@hdr;lon@hdr;obsvalue@body;stationid@hdr
24;15;187;1;58;20150602;0;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;0;52.378;4.8942;66.9;Ams01
72;15;187;1;58;20150602;100;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;100;52.378;4.8942;66.9;Ams01
120;15;187;1;58;20150602;200;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;200;52.378;4.8942;65.1;Ams01
168;15;187;1;58;20150602;300;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;300;52.378;4.8942;67.6;Ams01
216;15;187;1;58;20150602;400;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;400;52.378;4.8942;77.2;Ams01
264;15;187;1;58;20150602;500;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;500;52.378;4.8942;84.8;Ams01
312;15;187;1;58;20150602;600;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;600;52.378;4.8942;85.3;Ams01
360;15;187;1;58;20150602;700;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;700;52.378;4.8942;81.3;Ams01
408;15;187;1;58;20150602;800;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;800;52.378;4.8942;78.7;Ams01
456;15;187;1;58;20150602;900;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;900;52.378;4.8942;76.9;Ams01
504;15;187;1;58;20150602;1000;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;1000;52.378;4.8942;75.7;Ams01
552;15;187;1;58;20150602;1100;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;1100;52.378;4.8942;75.4;Ams01
600;15;187;1;58;20150602;1200;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;1200;52.378;4.8942;76.5;Ams01
648;15;187;1;58;20150602;1300;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;1300;52.378;4.8942;81.7;Ams01
696;15;187;1;58;20150602;1400;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;1400;52.378;4.8942;86.5;Ams01
744;15;187;1;58;20150602;1500;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;1500;52.378;4.8942;85.8;Ams01
792;15;187;1;58;20150602;1600;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;1600;52.378;4.8942;84.9;Ams01
