;obstype@body;codetype@body;entryno@body;varno@body;date@hdr;time@hdr;stalt@hdr;statid@hdr;obstype@hdr;codetype@hdr;source@hdr;groupid@hdr;reportype@hdr;class@desc;type@desc;stream@desc;expver@desc;levtype@desc;andate@desc;antime@desc;lat@hdr;lon@hdr;obsvalue@body;stationid@hdr
0;15;187;1;39;20150602;0;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;0;52.378;4.8942;12.9;Ams01
48;15;187;1;39;20150602;100;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;100;52.378;4.8942;12.93;Ams01
96;15;187;1;39;20150602;200;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;200;52.378;4.8942;13.3;Ams01
144;15;187;1;39;20150602;300;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;300;52.378;4.8942;13.04;Ams01
192;15;187;1;39;20150602;400;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;400;52.378;4.8942;12.09;Ams01
240;15;187;1;39;20150602;500;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;500;52.378;4.8942;11.43;Ams01
288;15;187;1;39;20150602;600;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;600;52.378;4.8942;11.71;Ams01
336;15;187;1;39;20150602;700;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;700;52.378;4.8942;12.9;Ams01
384;15;187;1;39;20150602;800;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;800;52.378;4.8942;13.7;Ams01
432;15;187;1;39;20150602;900;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;900;52.378;4.8942;14.51;Ams01
480;15;187;1;39;20150602;1000;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;1000;52.378;4.8942;15.3;Ams01
528;15;187;1;39;20150602;1100;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;1100;52.378;4.8942;16.07;Ams01
576;15;187;1;39;20150602;1200;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;1200;52.378;4.8942;16.23;Ams01
624;15;187;1;39;20150602;1300;4;#NOME?;15;187;iCH_WUR;17;16001;2;264;1247;xxxx;sfc;20150602;1300;52.378;4.8942;15.81;Ams01
