#
# National Water Information System
# 2018/03/05
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
agency_cd	party_nm
5s	64s
AK001	Alaska Department of Transportation and Public Facilities
AK002	Alaska Department of Environmental Conservation
AK004	Alaska Department of Natural Resources (DNR)
AK008	Alaska Department of Fish and Game
AK010	Alaska DNR, Division of Land and Water Management
AK011	Alaska DNR, Division of Geological and Geophysical Surveys
AL001	Alabama Geological Survey
AL002	Alabama Water Improvement Commission
AL003	Auburn University Water Resources Research Institute, AL
AL006	Alabama State Highway Department
AL012	Alabama Office of Water Resources
AR001	Arkansas Dept of Health, Bureau of Environmental Engineering
AR004	Arkansas Geological Survey
AR008	Arkansas Natural Resources Commission
AR019	International Paper-Pine Bluff, AR
AR025	Union County Conservation District, AR
ASCE	American Society of Civil Engineers
AWRA	American Water Resources Association
AYRES	Ayres Associates
AZ001	University of Arizona, Water Resources Research Center
AZ002	Roosevelt Irrigation District, AZ
AZ003	Arizona Game and Fish Department
AZ004	Maricopa County Municipal Water Conservation District #1, AZ
AZ005	Gila Water Commissioner, AZ
AZ006	Salt River Valley Water Users Association, AZ
AZ007	Arizona Department of Health
AZ008	Central Arizona Project
AZ009	Arizona Department of Environmental Quality
AZ010	Arizona Corporation Commission
AZ011	Salt River Project, AZ
AZ013	City of Tucson Water and Sewer Department, AZ
AZ014	Arizona Department of Water Resources
AZ015	Motorola Aerial Remote Sensing, Inc., AZ
AZ017	Arizona Department of Transportation
AZ021	Arizona State University
AZ044	US Water Conservation Laboratory, AZ
AZ047	Southwest Rangeland Watershed, AZ
AZ052	Arizona State Land Department
AZ056	Maricopa County Flood Control District, AZ
AZ063	Northern Arizona University
AZ070	Pima County Flood Control District, AZ
AZ080	University of Arizona
AZ100	Arizona Geological Survey
AZ112	Colorado River Indian Tribes, AZ
AZ115	Havasupai Tribe, AZ
AZ116	City of Flagstaff, AZ
AZ117	City of Williams, AZ
AZ118	Valle Water Users Association, AZ
AZ119	Tusayan Water Users Association, AZ
AZ120	Yuma County Water Users Association, AZ
AZ121	Fort Mojave Indian Tribes, AZ
AZ122	Phelps Dodge, AZ
AZ123	Freeport-McMoRan Inc., AZ
AZ124	US Indian Health Service, AZ
AZ125	Arizona Testing Laboratories
AZ126	Mohave Valley Irrigation and Drainage District, AZ
CA001	California Department of Water Resources
CA002	San-Lo Aerial Surveys Inc, CA
CA005	Los Angeles County Flood Control District, CA
CA006	Alameda County Water District, CA
CA008	Whitewater Mutual Water Company, CA
CA009	California State Water Resources Control Board
CA011	Phelan Pinyon Hills Community Services District, CA
CA015	Coachella Valley County Water District, CA
CA016	Ventura County Flood Control District, CA
CA020	Turlock Irrigation District, CA
CA025	East Bay Municipal Utility District, CA
CA026	Modesto Irrigation District, CA
CA036	Buena Vista Water Storage District, CA
CA039	Monterey County Flood Control & Water Conservation District, CA
CA040	San Luis Obispo Cnty Flood Control & Water Conservation Dist, CA
CA042	Santa Barbara County Flood Control & Water Conservation Dist, CA
CA043	Metropolitan Water District of Southern California
CA045	North Marin County Water District, CA
CA047	Alameda County Flood Control & Water Conservation District, CA
CA048	Santa Clara Valley Water District, CA
CA049	Tule Irrigation District, CA
CA051	Los Angeles City Department of Water and Power, CA
CA052	Desert Water Agency, CA
CA057	Riverside County Flood Control & Water Conservation District, CA
CA065	Pacific Gas and Electric Company, CA
CA066	Southern California Edison Company, CA
CA087	Napa County Flood Control & Water Conservation District, CA
CA088	San Diego County Health Department, CA
CA092	San Luis Obispo County Health Agency, CA
CA093	Monterey County Health Department, CA
CA098	Humboldt-Del Norte County Public Health Department, CA
CA105	University of California, Berkeley-Lawrence Livermore Lab
CA111	California Department of Health
CA114	Central Coast Region, CA Regional Water Quality Control Board
CA116	Central Valley Region, CA Regional Water Quality Control Board
