#
# National Water Information System
# 2018/03/05
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	parm_nm	fxd_va	fxd_tx
5s	29s	5s	80s
00028	Analyzing agency	300	NAPD/NTN - Nat.Atmos.Deposition Program/Nat.Trends Network
00028	Analyzing agency	500	Department of Agriculture
00028	Analyzing agency	504	Agricultural Research Service
00028	Analyzing agency	520	Soil Conservation Service
00028	Analyzing agency	596	Forest Service
00028	Analyzing agency	600	Department of Commerce
00028	Analyzing agency	642	National Industrial Pollution Control Council
00028	Analyzing agency	648	National Oceanic and Atmospheric Administration
00028	Analyzing agency	655	National Bureau of Standards
00028	Analyzing agency	701	Air Force
00028	Analyzing agency	702	Army
00028	Analyzing agency	703	Marines
00028	Analyzing agency	704	Navy
00028	Analyzing agency	800	Department of Defense - Civil
00028	Analyzing agency	810	Corps of Engineers
00028	Analyzing agency	900	Department of Health, Education and Welfare
00028	Analyzing agency	910	Food and Drug Administration
00028	Analyzing agency	915	Environmental Health Service
00028	Analyzing agency	920	Fish & Wildlife Service
00028	Analyzing agency	930	National Institutes of Health
00028	Analyzing agency	1000	Department of the Interior
00028	Analyzing agency	1004	Bureau of Land Management
00028	Analyzing agency	1008	Bureau of Indian Affairs
00028	Analyzing agency	1016	Bureau of Outdoor Recreation
00028	Analyzing agency	1028	Geological Survey
00028	Analyzing agency	1032	Bureau of Mines
00028	Analyzing agency	1050	Bureau of Sport Fisheries and Wildlife
00028	Analyzing agency	1053	National Park Service
00028	Analyzing agency	1060	Bureau of Reclamation
00028	Analyzing agency	1062	Alaska Power Administration
00028	Analyzing agency	1064	Bonneville Power Administration
00028	Analyzing agency	1068	Southeastern Power Administration
00028	Analyzing agency	1072	Southwestern Power Administration
00028	Analyzing agency	1076	Office of Saline Water
00028	Analyzing agency	1800	Atomic Energy Commission
00028	Analyzing agency	2000	U.S. Environmental Protection Agency
00028	Analyzing agency	2010	USEPA, Reg. 1, New England Regional Laboratory, Lexington
00028	Analyzing agency	2020	USEPA, Region 2, Edison, New Jersey
00028	Analyzing agency	2100	Department of Transportation
00028	Analyzing agency	2300	General Services Administration
00028	Analyzing agency	2500	Department of Housing and Urban Development
00028	Analyzing agency	2555	U.S. Public Health Service, Division of Indian Health
00028	Analyzing agency	2700	National Aeronautics and Space Administration
00028	Analyzing agency	3315	Tennessee Valley Authority
00028	Analyzing agency	6001	Association of Bay Area Governments, California
00028	Analyzing agency	6003	Alameda Co. Flood Control and Water Conservation Dist., CA
00028	Analyzing agency	6005	East Bay Regional Park District, CA
00028	Analyzing agency	6006	East Bay Municipal Utility District, Oakland CA
00028	Analyzing agency	6010	CA Regional Water Quality Control Board North Coast Region
00028	Analyzing agency	6015	United Water Conservation District, Santa Paula CA
00028	Analyzing agency	6020	Santa Clara Valley Water District, California
00028	Analyzing agency	6021	LA County Ag. Comm. Weights & Meas. Dept. Env. Toxicology L
00028	Analyzing agency	6022	Antelope Valley East Kern Water Agency Laboratory
00028	Analyzing agency	6040	Quanterra Environmental Services, West Sacramento, CA
00028	Analyzing agency	8001	Chadwick and Associates, Inc., Littleton, CO
00028	Analyzing agency	9701	Alabama
00028	Analyzing agency	9702	Alaska
00028	Analyzing agency	9704	Arizona
00028	Analyzing agency	9705	Arkansas
00028	Analyzing agency	9706	California
00028	Analyzing agency	9708	Colorado
00028	Analyzing agency	9709	Connecticut
00028	Analyzing agency	9710	Delaware
00028	Analyzing agency	9711	District of Columbia
00028	Analyzing agency	9712	Florida
00028	Analyzing agency	9713	Georgia
00028	Analyzing agency	9715	Hawaii
00028	Analyzing agency	9716	Idaho
00028	Analyzing agency	9717	Illinois
00028	Analyzing agency	9718	Indiana
00028	Analyzing agency	9719	Iowa
00028	Analyzing agency	9720	Kansas
00028	Analyzing agency	9721	Kentucky
00028	Analyzing agency	9722	Louisiana
00028	Analyzing agency	9723	Maine
00028	Analyzing agency	9724	Maryland
00028	Analyzing agency	9725	Massachusetts
00028	Analyzing agency	9726	Michigan
00028	Analyzing agency	9727	Minnesota Pollution Control Council
00028	Analyzing agency	9728	Mississippi
00028	Analyzing agency	9729	Missouri
00028	Analyzing agency	9730	Montana
00028	Analyzing agency	9731	Nebraska
00028	Analyzing agency	9732	Nevada
00028	Analyzing agency	9733	New Hampshire
00028	Analyzing agency	9734	NJ Dpt Hlth&Senior Svcs-Div Pub Hlth&Env Labs-Env&Chem Lab
00028	Analyzing agency	9735	New Mexico
00028	Analyzing agency	9736	New York
00028	Analyzing agency	9737	North Carolina
00028	Analyzing agency	9738	North Dakota
00028	Analyzing agency	9739	Ohio
00028	Analyzing agency	9740	Oklahoma
00028	Analyzing agency	9741	Oregon
00028	Analyzing agency	9742	Pennsylvania
00028	Analyzing agency	9744	Rhode Island
00028	Analyzing agency	9745	South Carolina
00028	Analyzing agency	9746	South Dakota
00028	Analyzing agency	9747	Tennessee
00028	Analyzing agency	9748	Texas
00028	Analyzing agency	9749	Utah
00028	Analyzing agency	9750	Vermont
00028	Analyzing agency	9751	Virginia
00028	Analyzing agency	9753	Washington
00028	Analyzing agency	9754	West Virginia
00028	Analyzing agency	9755	Wisconsin
00028	Analyzing agency	9756	Wyoming
00028	Analyzing agency	9760	American Samoa
00028	Analyzing agency	9761	Canal Zone
00028	Analyzing agency	9762	Canton and Enderbury Islands
00028	Analyzing agency	9766	Guam
00028	Analyzing agency	9767	Johnston Atoll
00028	Analyzing agency	9771	Midway Islands
00028	Analyzing agency	9772	Puerto Rico
00028	Analyzing agency	9773	Ryukyu Islands, Southern
00028	Analyzing agency	9775	Trust Territories of the Pacific Islands
00028	Analyzing agency	9777	U.S. Miscellaneous Pacific Islands
00028	Analyzing agency	9778	Virgin Islands
00028	Analyzing agency	9779	Wake Island
00028	Analyzing agency	9780	Mexico
00028	Analyzing agency	9781	Tamaulipas
00028	Analyzing agency	9782	Nuevo Leon
00028	Analyzing agency	9783	Coahuila
00028	Analyzing agency	9784	Chihuahua
00028	Analyzing agency	9785	Sonora
00028	Analyzing agency	9786	Baja California Norte
00028	Analyzing agency	9790	New Brunswick
00028	Analyzing agency	9791	Quebec
00028	Analyzing agency	9792	Ontario
00028	Analyzing agency	9793	Manitoba
00028	Analyzing agency	9794	Saskatchewan
00028	Analyzing agency	9795	Alberta
00028	Analyzing agency	9796	British Columbia
00028	Analyzing agency	9797	Yukon
00028	Analyzing agency	9801	Private Laboratory
00028	Analyzing agency	9802	Salt River Valley Users Association
00028	Analyzing agency	9803	Metropolitan Water District of Southern California
00028	Analyzing agency	9804	Florida Department of Pollution Control
00028	Analyzing agency	9805	Central and Southern Florida Flood Control District
00028	Analyzing agency	9806	Florida Game and Fresh Water Fish Commission
00028	Analyzing agency	9807	Florida Department of Health and Rehabilitative Services
00028	Analyzing agency	9808	Southwest Florida Water Management District
00028	Analyzing agency	9809	City of Jacksonville, Florida
00028	Analyzing agency	9810	Reedy Creek Improvement District, Florida
00028	Analyzing agency	9811	Orange County Pollution Control Department, Florida
00028	Analyzing agency	9812	Brevard County Pollution Control Department, Florida
00028	Analyzing agency	9813	Pennsylvania Department of Environmental Resources
00028	Analyzing agency	9814	Alaska Department of Fish and Game
00028	Analyzing agency	9815	Alaska Department of Environmental Conservation
00028	Analyzing agency	9816	California Department of Water Resources
00028	Analyzing agency	9817	Orange County Water District, Calif.
00028	Analyzing agency	9818	Hillsborough County Environmental Protection Comm., FL
00028	Analyzing agency	9819	Nassau County Department of Health, NY
00028	Analyzing agency	9820	Suffolk County Department of Health, NY
00028	Analyzing agency	9821	Suffolk County Department of Envir. Control, NY
00028	Analyzing agency	9822	Suffolk County Water Authority, NY
00028	Analyzing agency	9823	Alameda County Water District, CA
00028	Analyzing agency	9824	Alameda Co. Flood Control & Water Conser. Dist, Zone 7, CA
00028	Analyzing agency	9825	Valley Community Services District (Livermore), CA
00028	Analyzing agency	9826	City of Livermore Waste Treatment Plant, CA
00028	Analyzing agency	9827	Arkansas Department of Pollution Control and Ecology
00028	Analyzing agency	9828	Arkansas Game and Fish Commission
00028	Analyzing agency	9829	Nassau County Department of Public Works, NY
00028	Analyzing agency	9830	City of Ithaca Wastewater Treatment Plant Laboratory, NY
00028	Analyzing agency	9831	University of Iowa, State Hygienic Laboratory
00028	Analyzing agency	9902	University of Arizona
00028	Analyzing agency	9903	University of Florida
00028	Analyzing agency	9904	Florida State University
00028	Analyzing agency	9905	University of Central Florida
00028	Analyzing agency	9906	University of Alaska
00028	Analyzing agency	10001	University of Delaware, College of Marine Studies, Lewes,DE
00028	Analyzing agency	10003	Del. Dept. Natural Resources and Envir. Control, Dover, DE
00028	Analyzing agency	12001	City of Tampa, Florida
00028	Analyzing agency	12002	City of Vero Beach, Florida
00028	Analyzing agency	12005	City of Tallahassee, Florida
00028	Analyzing agency	12007	ITT Community Development Corporation, Florida
00028	Analyzing agency	12010	Palm Beach County Engineer
00028	Analyzing agency	12020	Palm Beach County Health Dept.
00028	Analyzing agency	12030	Dade County Dept. of Env. Resources Man.
00028	Analyzing agency	12040	University of Miami, Tritium Laboratory, Miami, FL
00028	Analyzing agency	12050	Quanterra Environmental Services, Tampa, FL
00028	Analyzing agency	16001	Idaho Department of Water Resources
00028	Analyzing agency	16002	Idaho Department of Health and Welfare
00028	Analyzing agency	17001	Metropolitan Sanitary Dist. of Greater Chicago(MSD)
00028	Analyzing agency	17002	Illinois Environmental Protection Agency (IEPA)
00028	Analyzing agency	17003	Illinois State Water Survey (ISWS)
00028	Analyzing agency	18001	Indiana Dept. Env. Mgmt., Drinking Water Branch, GW Section
00028	Analyzing agency	18002	Indiana Department of Environmental Management (IDEM)
00028	Analyzing agency	18003	Indiana Geological Survey (IGS)
00028	Analyzing agency	18004	Indiana Department of Natural Resources (IDNR)
00028	Analyzing agency	18005	Indianapolis Department of Public Works, Indiana (IDPW)
00028	Analyzing agency	18006	Purdue University, Lafayette, Indiana
00028	Analyzing agency	18007	Indiana University, Bloomington, Indiana
00028	Analyzing agency	18008	Ball State University, Muncie, Indiana
00028	Analyzing agency	18009	St. Joseph River Basin Commission, Indiana
00028	Analyzing agency	20001	Kansas State Geological Survey
00028	Analyzing agency	20003	City of Topeka, Kansas Wastewater Laboratory
00028	Analyzing agency	20005	City of Wichita, Kansas Water and Wastewater Laboratory
00028	Analyzing agency	21001	Geological Survey of Kentucky
00028	Analyzing agency	25001	Barnstable County Health Department, Mass.
00028	Analyzing agency	25005	Biology Department, Woods Hole Oceanographic Inst., MA
00028	Analyzing agency	25007	Mass. WRA, Sewerage Division Central Lab., Winthrop, MA
00028	Analyzing agency	25009	Alpha Analytical Labs, Westborough, MA
00028	Analyzing agency	26001	PhycoTech, St Joseph, MI
00028	Analyzing agency	27001	Minn. Department of Natural Resources (DNR), St. Paul, MN
00028	Analyzing agency	27002	Minn. DNR, Waters Division, St. Paul, MN
00028	Analyzing agency	27003	Minn. DNR, Fish and Wildlife Division, St. Paul, MN
00028	Analyzing agency	27004	Minn. DNR, Forestry Division, St. Paul, MN
00028	Analyzing agency	27005	Minn. DNR, Minerals Division, St. Paul, MN
00028	Analyzing agency	27010	Minn. Pollution Control Agency (PCA), St. Paul, MN
00028	Analyzing agency	27011	Minn. PCA, Water Quality Division, St. Paul, MN
00028	Analyzing agency	27012	Minn. PCA, Solid/Hazardous Waste Division, St. Paul, MN
00028	Analyzing agency	27013	Minn. PCA, Air Quality Division, St. Paul, MN
00028	Analyzing agency	27020	Minn. Department of Health, Minneapolis, MN
00028	Analyzing agency	27030	Minn. Geological Survey, St. Paul, MN
00028	Analyzing agency	27035	Univ. of Minnesota, Minneapolis-St. Paul, MN
00028	Analyzing agency	27036	Univ. of Minn., Geology and Geophysics, Minneapolis, MN
00028	Analyzing agency	27037	Univ. of Minn., Research Analytical Lab, St. Paul, MN
00028	Analyzing agency	27038	Univ. of Minn., Gray Freshwater Bio. Inst., Navarre, MN
00028	Analyzing agency	27039	Univ. of Minn., Soil Science  St. Paul, MN
00028	Analyzing agency	27040	Univ. of Minn., Agricultural Engineering, St. Paul, MN
00028	Analyzing agency	27041	Univ. of Minn., Ecol., Evol., and Behavior, St. Paul, MN
00028	Analyzing agency	27050	Metropolitan Waste Control Commission, St. Paul, MN
00028	Analyzing agency	28001	Office of Pollution Control, Mississippi
00028	Analyzing agency	28002	Office of Geology, Mississippi
00028	Analyzing agency	28003	Office of Land and Water Resources, Mississippi
00028	Analyzing agency	28004	Mississippi State Chemical Laboratory, Miss. State Univ.
00028	Analyzing agency	29001	Missouri Dept of Natural Resources, Div of Envir. Quality
00028	Analyzing agency	30010	Montana Bureau of Mines and Geology
00028	Analyzing agency	30020	Montana Dept. of Fish Wildlife and Parks
00028	Analyzing agency	30030	Montana Dept. of Health/Env. Sciences, Water Quality Bureau
00028	Analyzing agency	30040	Montana Agricultural Research Center
00028	Analyzing agency	30050	Montana Tunnels Mining, Inc., Wickes, MT
00028	Analyzing agency	30060	Water Consulting, Inc., Hamilton, MT
00028	Analyzing agency	31001	Nebraska Department of Environmental Control Laboratory
00028	Analyzing agency	32001	Nevada Division of Environmental Protection
00028	Analyzing agency	32003	Nevada Division of Water Resources
00028	Analyzing agency	32005	Univ. of Nev., Div. of Renew. Nat. Resources
00028	Analyzing agency	32006	Nevada Bureau of Environmental Health
00028	Analyzing agency	32007	Nevada Bureau of Mines & Geology
00028	Analyzing agency	32009	Nevada Department of Fish & Game
00028	Analyzing agency	32010	Nevada Division of Forestry
00028	Analyzing agency	32011	Nevada Division of Parks
00028	Analyzing agency	32012	Nevada Consumer Health Protection Service
00028	Analyzing agency	32013	Univ. of Nev., Desert Research Institute
00028	Analyzing agency	32014	Univ. of Nev., College of Agriculture
00028	Analyzing agency	32015	Clark County District Health Department, Nevada
00028	Analyzing agency	32016	Washoe County District Health Department, Nevada
00028	Analyzing agency	32017	Las Vegas Valley Water District, Nevada
00028	Analyzing agency	32018	Sierra Pacific Power Co., Nevada
00028	Analyzing agency	32019	Nevada Bureau of Laboratories and Research
00028	Analyzing agency	32020	Washoe County Utilities, Reno, NV
00028	Analyzing agency	32021	Carson City Public Works, Carson City, NV
00028	Analyzing agency	32022	Truckee Meadows Water Reclamation Facility, Reno, NV
00028	Analyzing agency	32091	Washoe County COG, Nevada
00028	Analyzing agency	32092	Clark County COG, Nevada
00028	Analyzing agency	32093	Municipal Water Company, Nevada
00028	Analyzing agency	34001	New Jersey Department of Environmental Protection
00028	Analyzing agency	34002	Roy F. Weston Inc., West Chester, PA
00028	Analyzing agency	34003	Booth, Garrett, and Blair Inc., Ambler, PA
00028	Analyzing agency	34004	Cape May County, NJ, Department of Health
00028	Analyzing agency	34005	Cape May County, NJ, Planning Board
00028	Analyzing agency	34006	Quanterra Environmental Services, Summerset, NJ
